X,DeMMO1_1.faa,DeMMO1_10.faa,DeMMO1_11.faa,DeMMO1_12.faa,DeMMO1_13.faa,DeMMO1_14.faa,DeMMO1_15.faa,DeMMO1_16.faa,DeMMO1_17.faa,DeMMO1_19.faa,DeMMO1_2.faa,DeMMO1_20.faa,DeMMO1_21.faa,DeMMO1_25.faa,DeMMO1_3.faa,DeMMO1_4.faa,DeMMO1_5.faa,DeMMO1_6.faa,DeMMO1_7.faa,DeMMO1_9.faa,
iron_aquisition-iron_transport,15,0,0,2,5,4,0,0,0,2,4,0,0,0,2,0,4,2,0,4,
iron_aquisition-heme_transport,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,
iron_aquisition-heme_oxygenase,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
iron_aquisition-siderophore_synthesis,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
iron_aquisition-siderophore_transport_potential,59,14,0,2,8,6,4,0,2,0,20,5,2,0,10,12,13,17,0,7,
iron_gene_regulation,71,15,1,1,25,1,2,1,2,0,3,1,3,1,9,6,23,1,0,5,
iron_oxidation,0,0,0,0,0,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,
possible_iron_oxidation_and_possible_iron_reduction,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,
probable_iron_reduction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
iron_reduction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
iron_storage,3,3,0,0,2,0,0,0,0,0,1,2,0,0,2,2,2,0,1,1,
magnetosome_formation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
